,latitude,longitude,PRIX_m2,date_mutation,valeur_fonciere,SURF
119,41.918247,8.726856,3372.093023255814,2017-01-26,290000.0,86.0
120,41.676774,8.908485,5310.271582460932,2017-01-26,350000.0,65.91
121,41.927962,8.738327,3013.698630136986,2017-01-16,220000.0,73.0
122,42.045505,8.7487,3676.470588235294,2017-01-28,85000.0,23.12
123,41.921378,8.737876,2106.741573033708,2017-01-04,90000.0,42.72
124,41.38676,9.182932,3811.252268602541,2017-01-26,210000.0,55.1
125,42.042145,8.9553,76.92307692307692,2017-01-12,15000.0,195.0
126,42.042875,8.958971,10.00667111407605,2017-01-12,15000.0,1499.0
127,42.043364,8.959798,3.559563360227812,2017-01-12,15000.0,4214.0
128,42.042145,8.9553,76.92307692307692,2017-01-12,15000.0,195.0
129,42.042875,8.958971,10.00667111407605,2017-01-12,15000.0,1499.0
130,42.043364,8.959798,3.559563360227812,2017-01-12,15000.0,4214.0
131,41.583418,9.257882,4313.725490196079,2017-01-27,220000.0,51.0
132,41.38676,9.182932,3315.2173913043475,2017-01-30,183000.0,55.2
133,42.165245,8.794364,6478.260869565217,2017-01-05,149000.0,23.0
134,42.165245,8.794364,1318.58407079646,2017-01-05,149000.0,113.0
135,42.185828,8.933055,1710.5263157894738,2017-01-10,130000.0,76.0
136,42.185684,8.933156,298.85057471264366,2017-01-10,130000.0,435.0
137,41.91235,8.721938,3573.333333333333,2017-01-18,268000.0,75.0
138,41.918299,8.73351,2463.2117722328853,2017-01-19,231000.0,93.78
139,41.93166,8.757892,208.33333333333331,2017-01-12,15000.0,72.0
140,41.646821,9.006693,1506.0240963855422,2017-01-18,125000.0,83.0
141,41.91347,8.725673,3913.3299543841854,2017-01-18,386050.0,98.65
142,41.940059,8.746991,2654.5454545454545,2017-01-16,146000.0,55.0
143,42.11402,8.677265,117.30205278592376,2017-01-20,400000.0,3410.0
144,42.148544,8.770832,20.0,2017-01-20,24080.0,1204.0
145,41.543236,9.199487,48.939641109298535,2017-01-23,30000.0,613.0
146,41.543208,9.199665,37.406483790523694,2017-01-23,30000.0,802.0
147,41.543378,9.199398,82.64462809917356,2017-01-23,30000.0,363.0
148,41.585222,9.275401,100.0,2017-01-26,19200.0,192.0
149,42.048543,8.75051,4148.036253776435,2017-01-12,178490.0,43.03
150,41.908192,8.674162,6164.383561643836,2017-01-09,900000.0,146.0
151,41.908192,8.674162,16363.636363636364,2017-01-09,900000.0,55.0
152,42.069566,8.798928,37.735849056603776,2017-01-06,2000.0,53.0
153,42.069491,8.798756,0.27037988373665,2017-01-06,2000.0,7397.0
154,42.06992,8.800283,0.3278688524590163,2017-01-06,2000.0,6100.0
155,42.006076,8.863382,2112.676056338028,2017-01-11,150000.0,71.0
156,42.006113,8.863179,1136.3636363636365,2017-01-11,150000.0,132.0
157,42.006768,8.889347,79.89347536617844,2017-01-11,120000.0,1502.0
158,41.652441,9.196211,37.03703703703704,2017-01-30,15000.0,405.0
159,41.752565,8.88463,1.586357326987904,2017-01-04,80000.0,50430.0
160,41.751479,8.88614,1.941087979812685,2017-01-04,80000.0,41214.0
161,41.751395,8.88871,4.588208304657031,2017-01-04,80000.0,17436.0
162,41.755003,8.884753,2.9940119760479043,2017-01-04,80000.0,26720.0
163,41.753381,8.886891,0.8305647840531561,2017-01-04,80000.0,96320.0
164,42.024536,8.825318,4750.0,2017-01-18,285000.0,60.0
165,41.920855,8.737717,2360.6457508376484,2017-01-04,155000.0,65.66
166,42.191625,8.845314,187.3905429071804,2017-01-05,214000.0,1142.0
167,41.675667,8.90386,2342.8571428571427,2017-01-05,82000.0,35.0
168,41.860757,8.802248,7301.136363636364,2017-01-06,1285000.0,176.0
169,41.860757,8.802248,534.0814630091438,2017-01-06,1285000.0,2406.0
170,42.178544,8.779932,975.103734439834,2017-01-16,47000.0,48.2
171,41.699147,9.35313,4048.7804878048782,2017-01-12,166000.0,41.0
172,42.028616,8.766677,1203.529411764706,2017-01-13,204600.0,170.0
173,41.590196,8.957241,0.0108695652173913,2017-01-11,1.0,92.0
174,41.967921,8.769924,4000.0,2017-01-20,220000.0,55.0
175,41.967921,8.769924,4000.0,2017-01-20,220000.0,55.0
176,41.936791,8.739021,1847.8260869565215,2017-01-19,170000.0,92.0
177,41.741019,9.32957,56.28517823639775,2017-01-20,30000.0,533.0
178,41.938785,8.739195,4215.01147164864,2017-01-20,128600.0,30.51
179,41.936658,8.754634,1947.6303830339752,2017-02-03,90000.0,46.21
180,42.179873,8.781103,425.531914893617,2017-02-02,20000.0,47.0
181,42.179861,8.781094,140.8450704225352,2017-02-02,20000.0,142.0
182,41.823724,9.32793,0.1977297297297297,2017-01-25,36580.0,185000.0
183,41.822737,9.322834,3.5373754956000387,2017-01-25,36580.0,10341.0
184,41.824367,9.321224,6.555555555555555,2017-01-25,36580.0,5580.0
185,41.83417,9.323434,4.970108695652174,2017-01-25,36580.0,7360.0
186,41.830599,9.331676,0.708091366627952,2017-01-25,36580.0,51660.0
187,41.825636,9.327384,8.03956043956044,2017-01-25,36580.0,4550.0
188,41.826814,9.330454,0.2596904728098821,2017-01-25,36580.0,140860.0
189,41.834134,9.325099,4.4045755568934375,2017-01-25,36580.0,8305.0
190,41.836726,9.330124,10.8096926713948,2017-01-25,36580.0,3384.0
191,41.821488,9.324503,0.7579776212184003,2017-01-25,36580.0,48260.0
192,41.83267,9.320943,0.5701727040339173,2017-01-25,36580.0,64156.0
193,41.832173,9.325327,0.0521425038379904,2017-01-25,36580.0,701539.0
194,41.829464,9.318123,0.1112889191771069,2017-01-25,36580.0,328694.0
195,42.167202,8.800554,61.855670103092784,2017-02-03,6000.0,97.0
196,41.920995,8.735461,4071.428571428572,2017-02-02,570000.0,140.0
197,41.920995,8.735461,6793.802145411203,2017-02-02,570000.0,83.9
198,41.920409,8.735907,3851.091142490373,2017-02-02,570000.0,148.01
199,41.920409,8.735907,4853.955547986034,2017-02-02,570000.0,117.43
200,41.706079,9.378295,456.140350877193,2017-01-31,52000.0,114.0
201,41.706119,9.378437,121.21212121212122,2017-01-31,52000.0,429.0
202,41.658071,9.325711,116.737012987013,2017-02-02,143820.0,1232.0
203,41.658345,9.325439,312.6521739130435,2017-02-02,143820.0,460.0
204,,,210.7728337236534,2017-01-31,90000.0,427.0
205,41.483845,9.118516,243.90243902439025,2017-01-31,90000.0,369.0
206,,,70.75471698113208,2017-01-31,90000.0,1272.0
207,41.537001,9.142863,1.461205007062491,2017-01-26,60000.0,41062.0
208,41.527224,9.140414,1.7323516673884798,2017-01-26,60000.0,34635.0
209,42.140664,8.599548,3513.2198478812024,2017-01-19,388000.0,110.44
210,41.683335,9.362724,137.92010145846544,2017-01-25,217500.0,1577.0
211,41.683258,9.362575,1334.355828220859,2017-01-25,217500.0,163.0
212,41.925615,8.832085,115.55555555555556,2017-01-18,10400.0,90.0
213,41.890144,8.809714,5114.285714285715,2017-01-20,179000.0,35.0
214,41.890144,8.809714,5114.285714285715,2017-01-20,179000.0,35.0
215,41.545951,9.203911,810.8108108108108,2017-01-19,150000.0,185.0
216,41.546162,9.204266,273.7226277372263,2017-01-19,150000.0,548.0
